,question,answer,category,difficulty_level,tags,example_query,explanation,common_mistakes,related_questions
305,"Given a sales database containing a 'sales' table and a 'products' table, write a SQL query to find the top three products by total sales amount for the past year. Include the product name and the total sales amount in your results. Use appropriate joins and aggregations","SELECT p.product_name, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date >= DATE_TRUNC('year', CURRENT_DATE - INTERVAL '1 year') GROUP BY p.product_name ORDER BY total_sales DESC LIMIT 3",SQL,unknown,Intermediate,"[""Join"", ""Aggregate function"", ""Data Analysis""]","SELECT product_name, SUM(amount) AS total_sales FROM sales WHERE sale_date >= DATE_TRUNC('year', CURRENT_DATE - INTERVAL '1 year') GROUP BY product_name ORDER BY total_sales DESC LIMIT 3",Not Available,"This SQL query joins the sales and products tables based on the product ID, filters for sales within the past year, aggregates the total sales by product name, and orders the results to display the top three products by sales amount"
306,"You are given two tables, 'sales' and 'products'. The 'sales' table contains columns 'sale_id', 'product_id', 'quantity_sold', 'sale_date'. The 'products' table contains 'product_id', 'product_name', and 'price'. Write a SQL query to find the total revenue generated from each product, along with its name, sorted by revenue in descending order","SELECT p.product_name, SUM(s.quantity_sold * p.price) AS total_revenue FROM sales s JOIN products p ON s.product_id = p.product_id GROUP BY p.product_name ORDER BY total_revenue DESC",SQL,unknown,Intermediate,"Data Analyst, SQL, Join, Aggregate Function","SELECT p.product_name, SUM(s.quantity_sold * p.price) AS total_revenue FROM sales s JOIN products p ON s.product_id = p.product_id GROUP BY p.product_name ORDER BY total_revenue DESC",Not Available,"This query calculates the total revenue for each product by joining the sales and products tables on 'product_id', summing the product of 'quantity_sold' and 'price', grouping the results by product name, and ordering them in descending order of revenue"
307,"Consider a database with two tables: `employees` (columns: `id`, `name`, `department_id`, `salary`) and `departments` (columns: `id`, `department_name`). Write a SQL query to find the top 3 highest-paid employees in each department along with the department name","WITH RankedEmployees AS (SELECT e.name, d.department_name, e.salary, ROW_NUMBER() OVER (PARTITION BY e.department_id ORDER BY e.salary DESC) AS rank FROM employees e JOIN departments d ON e.department_id = d.id) SELECT name, department_name, salary FROM RankedEmployees WHERE rank <= 3",SQL,unknown,Advanced,"[""Data Analyst"", ""Data Engineer"", ""Business Intelligence"", ""Window Function"", ""CTE""]","WITH RankedEmployees AS (SELECT e.name, d.department_name, e.salary, ROW_NUMBER() OVER (PARTITION BY e.department_id ORDER BY e.salary DESC) AS rank FROM employees e JOIN departments d ON e.department_id = d.id) SELECT name, department_name, salary FROM RankedEmployees WHERE rank <= 3",Not Available,"This query uses a Common Table Expression (CTE) to first rank employees within each department based on their salary using the `ROW_NUMBER()` window function. Then, it selects the top 3 employees from each department by filtering on the computed rank"
308,"Given a sales table with columns `id`, `order_date`, `customer_id`, `amount` and a customers table with columns `id`, `name`, `signup_date`, write a query that retrieves the total sales amount for each customer and lists only those who signed up in the last 12 months and had sales in that period","WITH recent_customers AS (SELECT id, name FROM customers WHERE signup_date >= DATEADD(MONTH, -12, GETDATE())) SELECT rc.name, SUM(s.amount) AS total_sales FROM recent_customers rc JOIN sales s ON rc.id = s.customer_id WHERE s.order_date >= DATEADD(MONTH, -12, GETDATE()) GROUP BY rc.id, rc.name",SQL,unknown,Intermediate,"[""Join"", ""Aggregate function"", ""CTE"", ""Data Analyst""]",Not Available,"This query starts by defining a Common Table Expression (CTE) to filter out customers who signed up in the last 12 months. It then joins this CTE with the sales data to calculate the total sales for these customers, considering only sales that also occurred in the last 12 months","Candidates might forget to filter the sales data by order_date, leading to incorrect sales totals. Also, they may overlook grouping correctly by the customer ID"
309,"You have two tables: 'employees' (with fields: employee_id, name, department_id) and 'salaries' (with fields: employee_id, salary, start_date). Write a SQL query to find the average salary for each department for the year 2022, and ensure that departments with no employees in that year are also included in the results with an average salary of 0","SELECT d.department_id, COALESCE(AVG(s.salary), 0) AS average_salary FROM (SELECT DISTINCT department_id FROM employees) AS d LEFT JOIN salaries s ON s.employee_id IN (SELECT employee_id FROM employees e WHERE e.department_id = d.department_id AND EXTRACT(YEAR FROM s.start_date) = 2022) GROUP BY d.department_id",SQL,unknown,Intermediate,"['Data Analyst', 'Data Engineer', 'Aggregate function', 'Join']","SELECT d.department_id, COALESCE(AVG(s.salary), 0) AS average_salary FROM (SELECT DISTINCT department_id FROM employees) AS d LEFT JOIN salaries s ON s.employee_id IN (SELECT employee_id FROM employees e WHERE e.department_id = d.department_id AND EXTRACT(YEAR FROM s.start_date) = 2022) GROUP BY d.department_id",Not Available,"This query uses a LEFT JOIN to include all departments and computes the average salary for the specified year 2022, using the COALESCE function to return 0 for departments with no salaries recorded"
310,"You are tasked with analyzing sales data for a retail company. The sales records are stored in a table called 'sales' with columns: 'sale_id', 'product_id', 'amount', and 'sale_date'. There is also a 'products' table with 'product_id' and 'product_category'. Write a SQL query to calculate the total sales amount for each product category in the month of January 2023","SELECT p.product_category, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date >= '2023-01-01' AND s.sale_date < '2023-02-01' GROUP BY p.product_category",SQL,unknown,Intermediate,"[""Data Analyst"", ""Join"", ""Aggregate Function""]",Not Available,"This query joins the 'sales' and 'products' tables on 'product_id'. It filters sales records to only include those from January 2023 and groups the results by 'product_category', calculating the total sales amount for each category",Candidates might forget to include the date filter correctly or fail to group the results by category
311,"You are given two tables: 'employees' (columns: id, name, department_id, salary) and 'departments' (columns: id, department_name). Write a SQL query to find the total salary expense for each department and list those departments with an expense greater than $100,000. Order the result by department_name","SELECT d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING SUM(e.salary) > 100000 ORDER BY d.department_name",SQL,unknown,Intermediate,"Join, Aggregate Function, Group By","SELECT d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING SUM(e.salary) > 100000 ORDER BY d.department_name",Not Available,"This query joins the 'employees' and 'departments' tables on department_id and aggregates the salaries for each department. It filters the results to show only those departments where the total salary exceeds $100,000 and sorts the output by department name"
312,"You are tasked with analyzing the sales data for a retail company. Given the `sales` table that records the sales transactions and a `products` table that holds product details, write a SQL query to find the top 3 products by total sales revenue, including the product name and total revenue. Additionally, for each product, include the count of distinct customers who made purchases. The tables are structured as follows: `sales` (transaction_id, product_id, customer_id, amount) and `products` (product_id, product_name)","WITH ProductSales AS (SELECT p.product_id, p.product_name, SUM(s.amount) AS total_revenue, COUNT(DISTINCT s.customer_id) AS customer_count FROM products p JOIN sales s ON p.product_id = s.product_id GROUP BY p.product_id ORDER BY total_revenue DESC LIMIT 3) SELECT product_name, total_revenue, customer_count FROM ProductSales",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'CTE', 'Data Analyst']","WITH ProductSales AS (SELECT p.product_id, p.product_name, SUM(s.amount) AS total_revenue, COUNT(DISTINCT s.customer_id) AS customer_count FROM products p JOIN sales s ON p.product_id = s.product_id GROUP BY p.product_id ORDER BY total_revenue DESC LIMIT 3) SELECT product_name, total_revenue, customer_count FROM ProductSales",Not Available,"This query uses a Common Table Expression (CTE) to first aggregate sales data by product, calculating total revenue and distinct customer counts. It filters for the top 3 products based on total revenue before selecting and displaying the final product name, revenue, and customer count"
313,"Given a sales table with columns 'sales_id', 'product_id', 'quantity_sold', 'sale_date', and a products table with 'product_id' and 'product_name', write a query to find the top 5 products sold by quantity in the last month. Include the product name and the total quantity sold for each product","WITH last_month_sales AS (SELECT product_id, SUM(quantity_sold) AS total_quantity FROM sales WHERE sale_date >= DATEADD(month, -1, GETDATE()) GROUP BY product_id) SELECT p.product_name, l.total_quantity FROM last_month_sales l JOIN products p ON l.product_id = p.product_id ORDER BY l.total_quantity DESC LIMIT 5",SQL,intermediate,"['Data Analyst', 'Aggregate function', 'Join']","WITH last_month_sales AS (SELECT product_id, SUM(quantity_sold) AS total_quantity FROM sales WHERE sale_date >= DATEADD(month, -1, GETDATE()) GROUP BY product_id) SELECT p.product_name, l.total_quantity FROM last_month_sales l JOIN products p ON l.product_id = p.product_id ORDER BY l.total_quantity DESC LIMIT 5",Not Available,"This query uses a Common Table Expression (CTE) to first aggregate the sales data for the last month and then joins this aggregated data with the products table to fetch the product names, ordering the results to get the top 5 products by quantity sold",Candidates might forget to filter the sale_date correctly for the last month or may not properly limit the output to 5 results
314,"You have two tables: orders (with columns order_id, customer_id, order_total, order_date) and customers (with columns customer_id, customer_name, and join_date). Write a query to find the total order amount for each customer who joined in the year 2020, and return results sorted by the total order amount in descending order","WITH Yearly_Customers AS (SELECT customer_id FROM customers WHERE YEAR(join_date) = 2020) SELECT c.customer_name, SUM(o.order_total) AS total_order_amount FROM Yearly_Customers yc JOIN customers c ON yc.customer_id = c.customer_id JOIN orders o ON c.customer_id = o.customer_id GROUP BY c.customer_name ORDER BY total_order_amount DESC",SQL,unknown,Intermediate,"[""Join"", ""Aggregate function"", ""CTE"", ""Data Analysis""]","SELECT * FROM (SELECT customer_id, SUM(order_total) AS total FROM orders GROUP BY customer_id) AS total_orders WHERE customer_id IN (SELECT customer_id FROM customers WHERE YEAR(join_date) = 2020)",Not Available,This query first identifies customers who joined in 2020 and then calculates the total order amount for those customers using a Common Table Expression (CTE). The results are then grouped by customer name and ordered by the total order amount
315,"You have two tables: `employees` with columns `id`, `name`, and `department_id`, and `departments` with columns `id` and `budget`. Write a SQL query to find the name of employees who work in departments with a budget greater than the average budget of all departments",SELECT e.name FROM employees e INNER JOIN departments d ON e.department_id = d.id WHERE d.budget > (SELECT AVG(budget) FROM departments),SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate function, Subquery",SELECT e.name FROM employees e INNER JOIN departments d ON e.department_id = d.id WHERE d.budget > (SELECT AVG(budget) FROM departments),Not Available,"This query joins the `employees` table with the `departments` table and filters the results to only include employees from departments that have a budget greater than the average budget, calculated using a subquery"
316,"Given a database with two tables, `employees` (employee_id, name, department_id) and `departments` (department_id, department_name), write a query to find the department with the highest average salary of its employees. Assume there is a `salaries` table (employee_id, salary)",SELECT d.department_name FROM departments d JOIN employees e ON d.department_id = e.department_id JOIN salaries s ON e.employee_id = s.employee_id GROUP BY d.department_name ORDER BY AVG(s.salary) DESC LIMIT 1,SQL,unknown,Intermediate,"Data Analyst, Data Engineer, Aggregate Function, Join",SELECT d.department_name FROM departments d JOIN employees e ON d.department_id = e.department_id JOIN salaries s ON e.employee_id = s.employee_id GROUP BY d.department_name ORDER BY AVG(s.salary) DESC LIMIT 1,Not Available,"This query joins the employees, departments, and salaries tables to calculate the average salary for each department and returns the department with the highest average salary"
317,"You are given two tables: `employees` and `departments`. The `employees` table has the following columns: `employee_id`, `name`, `dept_id`, and `salary`. The `departments` table has the columns: `dept_id`, `dept_name`, and `location`. Write a SQL query to find the average salary of employees in each department, and display the department name along with the average salary, sorted by average salary in descending order","SELECT d.dept_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.dept_id = d.dept_id GROUP BY d.dept_name ORDER BY average_salary DESC",SQL,unknown,Intermediate,"Data Analyst, SQL, Join, Aggregation","SELECT d.dept_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.dept_id = d.dept_id GROUP BY d.dept_name ORDER BY average_salary DESC",Not Available,"The query joins the `employees` and `departments` tables on the `dept_id`, calculates the average salary for each department using `AVG()`, groups the results by department name, and sorts the final output by the average salary in descending order"
318,"Given a sales database with tables 'Customers', 'Orders', and 'Order_Items', write a SQL query to find the total amount spent by each customer, along with their names, where the total amount is greater than $1,000. Also, sort the results by total amount spent in descending order. Use appropriate joins and aggregate functions","SELECT c.CustomerName, SUM(oi.Quantity * oi.UnitPrice) AS TotalAmountSpent
FROM Customers c
JOIN Orders o ON c.CustomerID = o.CustomerID
JOIN Order_Items oi ON o.OrderID = oi.OrderID
GROUP BY c.CustomerName
HAVING SUM(oi.Quantity * oi.UnitPrice) > 1000
ORDER BY TotalAmountSpent DESC",SQL,unknown,Intermediate,"[""Data Analyst"", ""Data Engineer"", ""Business Analyst"", ""Join"", ""Aggregate function""]",Not Available,"This query calculates the total spending for each customer using SUM to aggregate the results, with JOINs to connect the relevant tables. It filters customers based on spending over $1,000 and sorts the list in descending order by total spent","Candidates might forget to include the GROUP BY clause leading to aggregation errors or might not use HAVING correctly, mixing it up with WHERE"
319,"Given a table `sales` with columns `sales_id`, `product_id`, `quantity`, and `sale_date`, and a table `products` with columns `product_id`, `product_name`, and `category`, write an SQL query to find the total quantity sold for each product category in the month of January 2023. Sort the results by total quantity sold in descending order","SELECT p.category, SUM(s.quantity) AS total_quantity FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date >= '2023-01-01' AND s.sale_date < '2023-02-01' GROUP BY p.category ORDER BY total_quantity DESC",SQL,unknown,Intermediate,"Join, Aggregate function, Data Analysis","SELECT p.category, SUM(s.quantity) AS total_quantity FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date >= '2023-01-01' AND s.sale_date < '2023-02-01' GROUP BY p.category ORDER BY total_quantity DESC",Not Available,"This query joins the sales and products tables, filters for sales occurring in January 2023, groups the results by product category, and calculates the total quantity sold for each category, ordering the results by total quantity sold in descending order"
320,"You are given two tables: `sales` (with columns `id`, `product_id`, `sale_date`, `amount`) and `products` (with columns `id`, `product_name`, `category`). Write a SQL query to find the total sales amount for each product in the `Electronics` category for the year 2022, along with the product name. Sort the results by total sales amount in descending order","SELECT p.product_name, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.id WHERE p.category = 'Electronics' AND YEAR(s.sale_date) = 2022 GROUP BY p.product_name ORDER BY total_sales DESC",SQL,unknown,Intermediate,"['Join', 'Aggregation', 'Data Analysis']","SELECT p.product_name, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.id WHERE p.category = 'Electronics' AND YEAR(s.sale_date) = 2022 GROUP BY p.product_name ORDER BY total_sales DESC",Not Available,"This query joins the `sales` and `products` tables on the product IDs, filters for the 'Electronics' category and the year 2022, then groups the results by product name while calculating the total sales amount for each product"
321,"Given two tables, 'orders' which contains order details including order_id, customer_id, order_date, and amount, and 'customers' which includes customer_id, customer_name, and membership_level. Write a SQL query to find the top 3 customers (by total order amount) who are 'Gold' members, along with their total order amount","WITH CustomerTotals AS ( SELECT c.customer_id, c.customer_name, SUM(o.amount) as total_order_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.membership_level = 'Gold' GROUP BY c.customer_id, c.customer_name ) SELECT customer_id, customer_name, total_order_amount FROM CustomerTotals ORDER BY total_order_amount DESC LIMIT 3",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'CTE', 'Data Analyst']","WITH CustomerTotals AS ( SELECT c.customer_id, c.customer_name, SUM(o.amount) as total_order_amount FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.membership_level = 'Gold' GROUP BY c.customer_id, c.customer_name ) SELECT customer_id, customer_name, total_order_amount FROM CustomerTotals ORDER BY total_order_amount DESC LIMIT 3",Not Available,"The query first calculates the total order amount for each Gold member by joining the orders and customers tables, filtering for Gold members, and grouping the results. Then, it selects the top 3 customers based on their total order amount"
322,"Given a sales table with columns: order_id, customer_id, order_date, and total_amount, along with a customers table containing: customer_id, customer_name, and join_date, write a SQL query to find the total sales amount made by customers who joined in the year 2020, grouped by month of the order","WITH monthly_sales AS ( SELECT DATE_TRUNC('month', o.order_date) AS order_month, SUM(o.total_amount) AS total_sales FROM sales o JOIN customers c ON o.customer_id = c.customer_id WHERE c.join_date >= '2020-01-01' AND c.join_date < '2021-01-01' GROUP BY DATE_TRUNC('month', o.order_date) ) SELECT order_month, total_sales FROM monthly_sales ORDER BY order_month",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'CTE']","SELECT DATE_TRUNC('month', o.order_date) AS order_month, SUM(o.total_amount) AS total_sales FROM sales o JOIN customers c ON o.customer_id = c.customer_id WHERE c.join_date >= '2020-01-01' AND c.join_date < '2021-01-01' GROUP BY DATE_TRUNC('month', o.order_date)",Not Available,The provided SQL query uses a Common Table Expression (CTE) to aggregate total sales amounts per month for those customers who joined in 2020. It utilizes the DATE_TRUNC function to group orders by month before calculating the sum of the sales
323,"You are given two tables: `employees` (with `employee_id`, `name`, `manager_id`) and `salaries` (with `employee_id`, `salary`, `effective_date`). Write a query to find the average salary of employees under each manager, assuming that each employee can have only one direct manager. Include managers who have no employees reporting to them","WITH ManagerSalaries AS (
    SELECT e.manager_id, s.salary
    FROM employees e
    LEFT JOIN salaries s ON e.employee_id = s.employee_id
)
SELECT m.manager_id, AVG(ms.salary) AS average_salary
FROM (SELECT DISTINCT manager_id FROM employees) m
LEFT JOIN ManagerSalaries ms ON m.manager_id = ms.manager_id
GROUP BY m.manager_id",SQL,unknown,Intermediate,"[""Data Analyst"", ""Business Intelligence"", ""Join"", ""Aggregate function""]","SELECT e.manager_id, AVG(s.salary) AS average_salary FROM employees e LEFT JOIN salaries s ON e.employee_id = s.employee_id GROUP BY e.manager_id",Not Available,This SQL code calculates the average salary for all employees grouped by their respective managers. It ensures that managers without employees are still shown in the results with a NULL value for average salary
324,"Consider a retail database that has two tables: `sales` and `products`. The `sales` table contains columns for `sale_id`, `product_id`, `quantity_sold`, and `sale_date`. The `products` table includes `product_id`, `product_name`, and `category`. Write a SQL query to find the total quantity sold for each product in the 'Electronics' category over the last year (i.e., from today's date minus one year). Order the results by total quantity sold in descending order","SELECT p.product_name, SUM(s.quantity_sold) AS total_quantity_sold FROM sales s JOIN products p ON s.product_id = p.product_id WHERE p.category = 'Electronics' AND s.sale_date > DATEADD(year, -1, GETDATE()) GROUP BY p.product_name ORDER BY total_quantity_sold DESC",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'Data Analysis']","SELECT p.product_name, SUM(s.quantity_sold) AS total_quantity_sold FROM sales s JOIN products p ON s.product_id = p.product_id WHERE p.category = 'Electronics' AND s.sale_date > DATEADD(year, -1, GETDATE()) GROUP BY p.product_name ORDER BY total_quantity_sold DESC",Not Available,"This SQL query joins the `sales` and `products` tables to calculate the total quantity of 'Electronics' sold in the last year, grouping by the product name and ordering the results by total quantity sold in descending order"
325,"Consider a scenario where you have two tables: `employees` and `departments`. The `employees` table contains the fields `id`, `name`, `salary`, and `department_id`. The `departments` table has `id` and `department_name`. Write a SQL query to find the average salary of employees in each department and include the department name. Sort the results by average salary in descending order","SELECT d.department_name, AVG(e.salary) AS avg_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name ORDER BY avg_salary DESC",SQL,unknown,Intermediate,"[""Join"", ""Aggregate function"", ""Group By""]","SELECT department_name, AVG(salary) AS avg_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY department_name ORDER BY avg_salary DESC",Not Available,"This SQL query joins the `employees` table with the `departments` table on the `department_id` and aggregates the salary data by department name to calculate the average salary, sorting results in descending order"
326,"You are given two tables: `employees` (with columns `id`, `name`, `manager_id`, `salary`) and `departments` (with columns `id`, `department_name`, `manager_id`). Write a SQL query to find the total salary of all employees managed by each department, along with the department name. If a department has no employees, still include it in the results with a total salary of 0","SELECT d.department_name, COALESCE(SUM(e.salary), 0) AS total_salary FROM departments d LEFT JOIN employees e ON d.manager_id = e.manager_id GROUP BY d.department_name ORDER BY d.department_name",SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate function","SELECT department_name, COALESCE(SUM(salary), 0) AS total_salary FROM departments LEFT JOIN employees ON departments.manager_id = employees.manager_id GROUP BY department_name",Not Available,"This query joins the `departments` table with the `employees` table on the `manager_id` field, and uses the `COALESCE` function to ensure that departments with no employees will have a total salary of 0. The results are grouped by department name and ordered alphabetically"
327,"You are working with a sales database containing two tables: `sales` (with columns `sale_id`, `amount`, `customer_id`, `sale_date`) and `customers` (with columns `customer_id`, `customer_name`, `signup_date`). Write a SQL query to find the total sales amount per customer for the year 2023 along with their signup year, and order the results by the total sales in descending order. If a customer has not made any sales in 2023, they should still be included with a total sales amount of zero","SELECT c.customer_id, c.customer_name, EXTRACT(YEAR FROM c.signup_date) AS signup_year, COALESCE(SUM(s.amount), 0) AS total_sales FROM customers c LEFT JOIN sales s ON c.customer_id = s.customer_id AND EXTRACT(YEAR FROM s.sale_date) = 2023 GROUP BY c.customer_id, c.customer_name, signup_year ORDER BY total_sales DESC",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'Left Join']","SELECT c.customer_id, c.customer_name, EXTRACT(YEAR FROM c.signup_date) AS signup_year, COALESCE(SUM(s.amount), 0) AS total_sales FROM customers c LEFT JOIN sales s ON c.customer_id = s.customer_id AND EXTRACT(YEAR FROM s.sale_date) = 2023 GROUP BY c.customer_id, c.customer_name, signup_year ORDER BY total_sales DESC",Not Available,"The query aggregates the total sales amount for each customer in 2023 using a LEFT JOIN, ensuring that customers without sales are still included by using the COALESCE function to return a total of zero where there is no sales data"
328,"You have two tables: `employees` (with columns `id`, `name`, `department_id`, `salary`) and `departments` (with columns `id`, `name`, `location`). Write a SQL query that lists each department, the total salary of all employees in that department, and the average salary of the employees in each department. Include departments with no employees, displaying the total and average salary as NULL for those cases","SELECT d.id AS department_id, d.name AS department_name, SUM(e.salary) AS total_salary, AVG(e.salary) AS average_salary FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.id, d.name ORDER BY d.id",SQL,unknown,Intermediate,"['Join', 'Aggregation', 'Data Analyst']","SELECT d.id AS department_id, d.name AS department_name, SUM(e.salary) AS total_salary, AVG(e.salary) AS average_salary FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.id, d.name ORDER BY d.id",Not Available,"This SQL query uses a LEFT JOIN to combine the `departments` and `employees` tables, allowing for the inclusion of departments without employees. It then calculates the total and average salaries using SUM and AVG functions, grouping by the department to aggregate the salary figures"
329,"You are given two tables: `employees` (with columns `employee_id`, `name`, `department`, `salary`) and `departments` (with columns `department_id`, `department_name`, `manager_id`). Write a SQL query to find the department name and the total salary of all employees in each department, but only for departments where the total salary exceeds 500,000, sorted by total salary in descending order","SELECT d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department = d.department_id GROUP BY d.department_name HAVING SUM(e.salary) > 500000 ORDER BY total_salary DESC",SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate function","SELECT d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department = d.department_id GROUP BY d.department_name HAVING SUM(e.salary) > 500000 ORDER BY total_salary DESC",Not Available,"This query joins the `employees` and `departments` tables to aggregate the salary per department. It filters results with `HAVING` to show only those departments whose total salary exceeds 500,000, and sorts the final output by total salary in descending order"
330,"Consider a scenario where you have two tables: `Sales` (with columns `OrderID`, `ProductID`, `Quantity`, `OrderDate`) and `Products` (with columns `ProductID`, `ProductName`, `Price`). Write an SQL query to find the total revenue generated from each product in the year 2023, along with the product name. Order the results by total revenue in descending order","WITH ProductRevenue AS (SELECT p.ProductName, SUM(s.Quantity * p.Price) AS TotalRevenue FROM Sales s JOIN Products p ON s.ProductID = p.ProductID WHERE YEAR(s.OrderDate) = 2023 GROUP BY p.ProductName) SELECT ProductName, TotalRevenue FROM ProductRevenue ORDER BY TotalRevenue DESC",SQL,intermediate,"Data Analyst, Aggregation, Join","WITH ProductRevenue AS (SELECT p.ProductName, SUM(s.Quantity * p.Price) AS TotalRevenue FROM Sales s JOIN Products p ON s.ProductID = p.ProductID WHERE YEAR(s.OrderDate) = 2023 GROUP BY p.ProductName) SELECT ProductName, TotalRevenue FROM ProductRevenue ORDER BY TotalRevenue DESC",Not Available,This SQL uses a Common Table Expression (CTE) to calculate the total revenue for each product by joining the `Sales` and `Products` tables and summing the product of `Quantity` and `Price`. It filters the records for the year 2023 and orders the final results by revenue,"Candidates may forget to aggregate the data properly, leading to incorrect totals, or might neglect to filter the records for the correct year"
331,"Given a sales database with tables 'orders' (containing 'order_id', 'customer_id', 'order_date', and 'total_amount') and 'customers' (containing 'customer_id', 'customer_name', 'signup_date'), write a query to find the top 5 customers who have spent the most money in the last year and include their total amount spent and the number of orders in that period","WITH last_year_orders AS (SELECT customer_id, SUM(total_amount) as total_spent, COUNT(order_id) as order_count FROM orders WHERE order_date >= DATEADD(year, -1, GETDATE()) GROUP BY customer_id) SELECT c.customer_name, l.total_spent, l.order_count FROM last_year_orders l JOIN customers c ON l.customer_id = c.customer_id ORDER BY l.total_spent DESC LIMIT 5",SQL,unknown,Intermediate,"Data Analyst, SQL, Aggregate function, Join","SELECT c.customer_name, l.total_spent, l.order_count FROM (SELECT customer_id, SUM(total_amount) as total_spent FROM orders GROUP BY customer_id) AS l JOIN customers c ON l.customer_id = c.customer_id ORDER BY l.total_spent DESC LIMIT 5",Not Available,"This query uses a Common Table Expression (CTE) to first aggregate the total amounts spent by customers in the last year, followed by a join with the customers table to retrieve the names of those customers, ordered by total spending"
332,"Given a sales database with tables `orders` (order_id, customer_id, order_date, order_total) and `customers` (customer_id, first_name, last_name, region), write a query to find the total sales per region for the last quarter of 2023, sorted by total sales in descending order","WITH Quarters AS ( SELECT DATE_TRUNC('quarter', order_date) AS quarter_start FROM orders WHERE order_date >= '2023-10-01' AND order_date < '2024-01-01' GROUP BY DATE_TRUNC('quarter', order_date) ) SELECT c.region, SUM(o.order_total) AS total_sales FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE o.order_date IN (SELECT quarter_start FROM Quarters) GROUP BY c.region ORDER BY total_sales DESC",SQL,unknown,Intermediate,"[""Join"",""Aggregate function"",""CTE"",""Data Analysis""]","SELECT c.region, SUM(o.order_total) AS total_sales FROM orders o JOIN customers c ON o.customer_id = c.customer_id WHERE DATE_TRUNC('quarter', o.order_date) = DATE '2023-10-01' GROUP BY c.region ORDER BY total_sales DESC",Not Available,This SQL code uses a Common Table Expression (CTE) to identify the start of the last quarter and then aggregates total sales per region by joining the `orders` and `customers` tables
333,"Given two tables, 'employees' and 'departments', write a query to find the average salary of employees in each department, and return the department name along with the average salary. Consider that some employees may not belong to a department","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e LEFT JOIN departments d ON e.department_id = d.id GROUP BY d.department_name",SQL,unknown,Intermediate,"Data Analyst, SQL, Join, Aggregate Function","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e LEFT JOIN departments d ON e.department_id = d.id GROUP BY d.department_name",Not Available,"This query uses a LEFT JOIN to combine the 'employees' and 'departments' tables based on department ID, ensuring that all departments are included even if no employees are associated with them. It then calculates the average salary for each department using the AVG() function and groups the results by department name"
334,"You are given two tables: 'employees' (with columns: employee_id, department_id, salary) and 'departments' (with columns: department_id, department_name). Write a SQL query that returns the average salary of each department, along with the department name, for departments where the average salary exceeds $50,000","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_name HAVING AVG(e.salary) > 50000",SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate Function","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.department_id GROUP BY d.department_name HAVING AVG(e.salary) > 50000",Not Available,"This query joins the employees and departments tables on the department_id, calculates the average salary for each department using AVG, groups the results by department name, and filters those with an average salary above $50,000"
